Beetle_ID,Color_Code,Collection_Site_Type,Plot_ID,Date_Starvation,Date_Release,Date_Collection,Treatment,Release_Site_Type,Release_Plot_ID,Cage_ID,Species,Weight_g,Weight_After_starvation_g,Weight_After_Field_g,Status_In_Field,Date_Weight_In_Lab,Weight_After_Lab_g,Second_Date_Weight_in_Lab,Second_Weight_in_Lab_g,Eggs,Notes
B033,R-G-R-R,Grassland,NF2,11/06/2025,13/06/2025,16/06/2025,Combined,Woodland,GT1,C16,Poecilus versicolor,0.061,0.045,0.0295,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B034,R-G-R-B,Grassland,NF2,11/06/2025,13/06/2025,16/06/2025,Control,Grassland,NF2,C14,Nebria brevicollis,0.066,0.059,0.032,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B035,R-G-R-G,Woodland,BN,18/06/2025,20/06/2025,23/06/2025,Translocation,Grassland,CF,C13,Abax parallelepipedus,0.265,0.229,0.127,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B036,R-G-R-Y,Woodland,BN,18/06/2025,20/06/2025,23/06/2025,Competition,Woodland,GT2,C11,Typhaeus typhoeus,0.372,0.305,0.185,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B037,R-G-B-R,Woodland,GT1,18/06/2025,20/06/2025,23/06/2025,Translocation,Grassland,LC,C20,Abax parallelepipedus,0.298,0.259,0.126,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B040,R-G-B-Y,Grassland,NF1,18/06/2025,20/06/2025,23/06/2025,Combined,Grassland,CF,C17,Abax parallelepipedus,0.275,0.234,0.098,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B041,R-G-G-R,Grassland,NF1,18/06/2025,20/06/2025,23/06/2025,Combined,Woodland,GT2,C2,Abax sp.,0.562,0.501,0.320,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B042,R-G-G-B,Grassland,NF1,18/06/2025,20/06/2025,23/06/2025,Control,Grassland,LC,C24,Abax parallelepipedus,0.299,0.248,0.103,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B043,R-G-G-G,Grassland,NF1,18/06/2025,20/06/2025,23/06/2025,Combined,Woodland,GT1,C4,Abax parallelepipedus,0.294,0.238,0.170,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B044,R-G-G-Y,Woodland,MC,18/06/2025,20/06/2025,23/06/2025,Control,Woodland,GT1,C12,Abax parallelepipedus,0.220,0.187,0.131,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B045,R-G-Y-R,Woodland,MC,18/06/2025,20/06/2025,23/06/2025,Control,Woodland,GT2,C9,Abax parallelepipedus,0.270,0.233,0.157,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B046,R-G-Y-B,Woodland,MC,18/06/2025,20/06/2025,23/06/2025,Translocation,Grassland,LC,C19,Abax parallelepipedus,0.268,0.221,0.120,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B047,R-G-Y-G,Woodland,MC,18/06/2025,20/06/2025,23/06/2025,Combined,Grassland,CF,C17,Pterostichus madidus,0.126,0.117,0.060,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B048,R-G-Y-Y,Woodland,GT2,18/06/2025,20/06/2025,23/06/2025,Combined,Woodland,GT2,C2,Abax parallelepipedus,0.270,0.202,0.125,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B049,R-Y-R-R,Woodland,GT2,18/06/2025,20/06/2025,23/06/2025,Control,Woodland,GT2,C22,Abax parallelepipedus,0.278,0.233,0.168,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B050,R-Y-R-B,Woodland,GT2,18/06/2025,20/06/2025,23/06/2025,Translocation,Grassland,CF,C5,Abax parallelepipedus,0.362,0.305,0.153,Dead,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Found dead in the field.
B052,R-Y-R-Y,Grassland,NF1,19/06/2025,21/06/2025,24/06/2025,Combined,Woodland,MC,C10,Abax parallelepipedus,0.242,0.166,0.071,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B053,R-Y-B-R,Grassland,NF1,19/06/2025,21/06/2025,24/06/2025,Combined,Grassland,NF1,C18,Abax parallelepipedus,0.323,0.276,0.193,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B054,R-Y-B-B,Grassland,NF1,19/06/2025,21/06/2025,24/06/2025,Translocation,Woodland,BN,C8,Abax parallelepipedus,0.279,0.238,0.173,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
B055,R-Y-B-G,Woodland,GT1,19/06/2025,21/06/2025,24/06/2025,Combined,Woodland,MC,C10,Abax parallelepipedus,0.278,0.254,0.218,Dead,NA,NA,NA,NA,NA,Yes. Found dead in the field.
